brand,model,image_url,source_url,license_name,license_url,author,attribution_text
Rolex,Explorer,https://upload.wikimedia.org/wikipedia/commons/a/a1/152-rolex-explorer-ref-14270-circa-2001-mostra-store-aix-montres-vintage.jpg,https://commons.wikimedia.org/wiki/File:152-rolex-explorer-ref-14270-circa-2001-mostra-store-aix-montres-vintage.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Thierry Mostra-store,"""File:152-rolex-explorer-ref-14270-circa-2001-mostra-store-aix-montres-vintage.jpg"" by Thierry Mostra-store via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
Rolex,Unspecified,https://upload.wikimedia.org/wikipedia/commons/d/d4/148-rolex-airking-precision-14000-circa-1994-mostra-store-aix-watch-montre-rolex.jpg,https://commons.wikimedia.org/wiki/File:148-rolex-airking-precision-14000-circa-1994-mostra-store-aix-watch-montre-rolex.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Thierry Mostra-store,"""File:148-rolex-airking-precision-14000-circa-1994-mostra-store-aix-watch-montre-rolex.jpg"" by Thierry Mostra-store via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
Rolex,Unspecified,https://upload.wikimedia.org/wikipedia/commons/a/a9/Eta_saat.jpg,https://commons.wikimedia.org/wiki/File:Eta_saat.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Voxivi,"""File:Eta saat.jpg"" by Voxivi via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
Rolex,Unspecified,https://upload.wikimedia.org/wikipedia/commons/b/b3/2022-06-13_Play-offs_%282022_Premier_League_Darts%29_by_Sandro_Halank%E2%80%93073.jpg,https://commons.wikimedia.org/wiki/File:2022-06-13_Play-offs_(2022_Premier_League_Darts)_by_Sandro_Halank%E2%80%93073.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Sandro Halank, Wikimedia Commons","""File:2022-06-13 Play-offs (2022 Premier League Darts) by Sandro Halank–073.jpg"" by Sandro Halank, Wikimedia Commons via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
Rolex,Unspecified,https://upload.wikimedia.org/wikipedia/commons/c/cb/2022-06-13_Play-offs_%282022_Premier_League_Darts%29_by_Sandro_Halank%E2%80%93088.jpg,https://commons.wikimedia.org/wiki/File:2022-06-13_Play-offs_(2022_Premier_League_Darts)_by_Sandro_Halank%E2%80%93088.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Sandro Halank, Wikimedia Commons","""File:2022-06-13 Play-offs (2022 Premier League Darts) by Sandro Halank–088.jpg"" by Sandro Halank, Wikimedia Commons via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
Rolex,Explorer,https://upload.wikimedia.org/wikipedia/commons/3/3f/Rolex_Explorer_II_%28edited%29.jpg,https://commons.wikimedia.org/wiki/File:Rolex_Explorer_II_(edited).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"File:Rolex Explorer 2.JPG: TheMonster17
derivative work: Pittigrilli","""File:Rolex Explorer II (edited).jpg"" by File:Rolex Explorer 2.JPG: TheMonster17
derivative work: Pittigrilli via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
Jaeger-LeCoultre,Unspecified,https://upload.wikimedia.org/wikipedia/commons/e/e0/Jaeger-Lecoultre-p1000838.jpg,https://commons.wikimedia.org/wiki/File:Jaeger-Lecoultre-p1000838.jpg,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,Rama,"""File:Jaeger-Lecoultre-p1000838.jpg"" by Rama via Wikimedia Commons, CC BY-SA 2.0 fr (https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en)"
Jaeger-LeCoultre,Unspecified,https://upload.wikimedia.org/wikipedia/commons/c/ce/Jaeger-Lecoultre-p1000839.jpg,https://commons.wikimedia.org/wiki/File:Jaeger-Lecoultre-p1000839.jpg,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,Rama,"""File:Jaeger-Lecoultre-p1000839.jpg"" by Rama via Wikimedia Commons, CC BY-SA 2.0 fr (https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en)"
Jaeger-LeCoultre,Master,https://upload.wikimedia.org/wikipedia/commons/b/b5/Jaeger-LeCoultre_MasterEightDaysPerpetualSquelette.jpg,https://commons.wikimedia.org/wiki/File:Jaeger-LeCoultre_MasterEightDaysPerpetualSquelette.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Ghilt,"""File:Jaeger-LeCoultre MasterEightDaysPerpetualSquelette.jpg"" by Ghilt via Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)"
Jaeger-LeCoultre,Master,https://upload.wikimedia.org/wikipedia/commons/2/28/Jaeger-LeCoultre_MasterEightDaysPerpetualSquelette_cropped.png,https://commons.wikimedia.org/wiki/File:Jaeger-LeCoultre_MasterEightDaysPerpetualSquelette_cropped.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Jaeger-LeCoultre_MasterEightDaysPerpetualSquelette.jpg: Ghilt
derivative work: PawełMM (talk)","""File:Jaeger-LeCoultre MasterEightDaysPerpetualSquelette cropped.png"" by Jaeger-LeCoultre_MasterEightDaysPerpetualSquelette.jpg: Ghilt
derivative work: PawełMM (talk) via Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)"
Jaeger-LeCoultre,Memovox,https://upload.wikimedia.org/wikipedia/commons/5/58/Jaeger-LeCoultre_Memovox_model_E855_with_calibre_K825.JPG,https://commons.wikimedia.org/wiki/File:Jaeger-LeCoultre_Memovox_model_E855_with_calibre_K825.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Ghilt,"""File:Jaeger-LeCoultre Memovox model E855 with calibre K825.JPG"" by Ghilt via Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)"
